Text,Sentiment
"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY",1
"CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ",1
SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,1
SK to the GAVE!,0
ovti ttm ending Oct 2012 Negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,0
AAP and GOOG should respond positively to good jobless claims numbers,1
Analyst price targets and earnings targets coming down---EXACTY what you want to see prior AAP reporting.,1
user Nice! Color me an INTC bull as well!,1
"Heads p: AA Earnings (1/8/13) ess Than a Week Away, Tho The Season Doesn't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al...",1
"trade idea buy WO  market 26.64, target 36, cut below 23.50  ",1
"Trade idea buy DC  market 58.50, target 67 , cut below 53  ",1
GOOG looks all set to make new ATH. Now before or after E is the unknown.,1
GOOG trade this one long verse 10sma  ,1
"FNF - ong  19.43. Trailing Stop  21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ",1
"FOD should see a solid move up tom, system predict nice green candle.",1
This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,1
It's time to invest in MSFT COMPQ   ,1
"New Post: Shorts Will Make Dimes, ongs Will Make Dollars  AAP SPX QQQ P",1
nbelieveable payment trend that VC's are chasing has easily played out in public markets.... EBAY V and Mastercard MA all time highs,1
Some of the watch list stocks that triggered today OEX AGNX TV VBD XIDE PPC EXP  ONTY  BMN FS WK CHMT FBC  ISI AIG,1
Nice Bull flag breakout here OC #technology #software  ,1
My setup alerts went bonkers today..One of many that got triggered.Cup+Handle breakout in PFE   ,1
The host with the most....congrats to the cloud today AX and user more all-time highs.  wow,1
X Did .S. Steel Just Breakout?  MT too,1
DNDN has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher  ,1
EXPE looks good for higher prices  ,1
apc weekly setting up long.  ,1
I am going into this morning long 3 each AAP 560 call options & GOOG 725 calls Jan 4th expiration,1
ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 SPX #stocks.  ,1
Monitor the S line/price dynamic. Stocks that closed Dec.28 with the S line in new highs be4 price. MHO TSM IPGP EQIX BC BDC ASH,1
DDD IDCC continue higher,1
"Had hoped to pick up some OST today, but looks like I'm a day too late. Nice move up this morning.",1
GPS wow that wa s a fast fast fade...,0
AMZN going above 260. Should go near 300 if market behaves for a few weeks.,1
Huston we have a GEEN AAP,1
P long 9.55,1
HN breakout...but 3rd day up so look for pullback to enter long.  ,1
NG - ascend triangle much like FS & X breakouts 127 exten then 161.8 targets - fibs subjective  ,1
KCG ... things that make you go hmmmm?  ,1
VNG - Huge  news from patent attorney Dan avicher  ,1
NG nhod - check the weekly - target previous lows 2006 :),1
NG nhod - what do you see? check the weekly - target previous lows 2006 :)   ,1
AIG American International Group Option Traders bet on 4% down move by next Friday  ,0
P out balance +.32,1
VNG buys vs. Sells?,1
BAC In  12.00 since there is consolidation  this level. We could close = > 12.09 if market is stable in pm IMHO.,1
VNG Parabolic moves are a comin',1
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,0
"we liked VS, we love WYNN from 111 entry to new up target yesterday at 121. very nice !   ",1
user: SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ,0
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",1
VNG - 12 mil shares shorts plus long buying = massive VNG short squeeze. Just when you thought story was dead avicher kills short thesis,1
"Wow, not good for BKS T user ... sales for the Nook were down 13% over the holidays  ",0
AC from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce   ,1
"The new wightwatchers ads are more fun and light and with regular people more interesting, but I still dont trust them WTW (no position)",0
AMZN holding up well - next buy point when clears this upper trend line on heavy volume  ,1
MA exactly what you want to see a follow thru day after breaking out to new highs on volume  ,1
ZCS user There's your buying,1
AAP SPY no more QE for 2013. Now bring the Geithner.,0
Over extended stock market + unexpected news from the FED minutes = Down ESD & a panicky ES_F NQ_F.,0
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.",0
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,0
FAN - seeking 200d. Im adding some synthetic shorts here and will add again at 200d.,0
"CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk",1
All of the above: gme Gamestop short targets  spy,0
time to get out of the #cloud stocks VMW CM,0
BAC Keep Overniight mmy pos. will bin premarket Tmorrow too.,1
Polk Expects 2013 .S. New Vehicle egistrations to each 15.3 Million - Polk -  F GM I think this is low,1
Very bullish on market  also talked trends for SCTY OST ANGI FIO  PANW A JCP P YEP MNST GPN on show.,1
BAC what happens next?  ,0
KCG someone bought 3.22k 4 Jan 18 Calls....,1
Man I didnt know about Skippy when I made this...would have thrown in a jar H #Hormel  ,1
"Big move in bonds today, 7 months high for 10 y rate, still going lower here ZN_F, could get truly ugly if good NFP number in AM SPY TT",1
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,1
Maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with?  they want to settle,1
BJI Over 35.53 if good volume  ,1
CEE Over 35.12  ,1
SQNM  Over 5.05  ,1
NX On flag break  ,1
3D Systems Brings Next-Gen Consumer 3D Printing to CES 2013  DDD,1
AAP will top out in April when Aston Kutcher stars in 'jOBS'.  Kinda like how Facebook did when 'Social Network' came out. FB,0
"VNG w/ MACD turning up & above its signal line, VNG could post a nice rally from current levels  ",1
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,0
bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64% improvement q o q,1
DI 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase,1
AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,1
am 3Q operational cash flow neg 16 million.  vs. year ago 3Q of negative 68million.  52 million improvement,1
"A quiet Carl Icahn = Bullish.  NFX shorts should be paranoid on every close as they will get acquired.  Think aapl, msft, amzn, fb",1
I am an aapl bull but cannot break this trend line in OBV   ,0
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,1
NX on watch list above small flag on volume of 26% of ave full day so good volume  ,1
GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here   ,1
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,1
"Took some profits off DDD, will add if breaks 60 on volume.",1
CHK - what I'm looking at - small risk position calls only. Scalp - maybe a swing XE watch.   ,1
"ONTY If the holders would just hold out or raise their ask here, this could really pop. Going to climb slowly regardless...",1
EOG PXD OAS #energyswag,1
AAP moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.,0
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense   ,0
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.",0
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,0
Will watch the close carefully then decide whether to ONG or SHOT AAP. Below 530 SHOT!!!,0
"JCP Keep an eye on this triangle. big short int, 34%. reports Feb 27. cup & handle. at DT. ong  ",1
sold a little goog ...first time in a while,1
Nice cup with handle breakout on MCA,1
FAF new highs.,1
SPY giving AAP the finger. We don't care about you anymore lol,0
The Smith&Corona doing ok. AMZN,1
"VA - ong  43.07. Trailing Stop  58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ",1
AMZN alert update: a last minute push tried to shake out puts. we're hanging on for now.  ,0
AAP volume higher today than monday. Keep that in mind.,1
"HB.A - ong  73.67. Trailing Stop  71.92 from 3 prior Stops of 70.86, 68.64 and 62.41 -  ",1
"The key is not to panic here.  AAP is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals",1
NVDA 4 hour - love to see the vol explode.   ,1
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,1
some worried I had gone OCO with my 737.71 up call for GOOG ! now at door step of nearly 40 move  ,1
VNG its crazy that anyone listens and trades off this tool.,1
GOOG  is getting fueled by AAP's reversal.,1
user why make a BBY offer now when he can shave 4 more off offer price? Bid went from 24-26 to just 20 in a matter of months.,0
NVDA - to answer your question entry (add) was the red candle at 10:50AM today. ove flags  ,1
"AAP 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option",1
"WPI - was on our short candidate list 12/31 and we missed it, got started short today",0
MYE breaking out,1
Short HT under the 200 SMA stop just over the high of the day. First target 53.95. Second target 53.21 gap fill.,0
QCOM introduces StreamBoost:  average home connects up to seven devices to the Internet,1
NVDA love to see momo this next week like previous histogram bars noted.   ,0
HMA unusual option activity. Trader buys 11k of the Jan 9 Put. Short term bear play,0
"ADBE option trader buys 5,300 of the Feb 39C against OI of 741. Bet is on stock above 39 by Feb 16th",1
"NVDA ooks bullish but it must stay above 13.05 on a closing basis (monthly), EPS say no?  ",0
SQNM from watch list over line on volume of 86% of ave full day  ,1
HOTT Failed breakout?  ,0
ZN_F ticking up.. I'd be a seller of SDJPY here (*if I weren't already)...,0
"INO Wow, nice accumulation today, heavy...",1
ZNGA Fat juicy Short back to lower levels as it closes Gap  2.72?  ,0
GDOT nice bounce from its 50SMA. ooks ready to test the recent highs  ,1
HMA ooking for 10's; headed higher!  ,1
"SPF ooking for 9's, headed higher with lower rates.  ",1
"GS JPM XF HOD, they are hungry for stocks out there... SPY",1
CHK weekly bullish engulfing   ,1
GS looks good heading into next week.,1
AAP all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock,1
As goog explodes and aapl implodes MINTE 21 to 23 of user vid from a few years ago have Mark nailing the subject  ,1
"KKD Krispy Kreme Doughnuts, Inc. at IC XChange Conference (ive) 01/17/13 at 9:15 a.m. ET",1
Picked up FS on pullback due to downgrade. Held support to close week. First PT 37.30  ,1
"user: I've been picking this one for a while, but I'm calling KKD as the next food company to make a DPZ like run in TWENTY13.",1
"ZNGA Still shows red and dead on a enko view, PF Box size 0.25  ",0
"GS enko view of GS, PF Box size = 5 showing potential to break to 175  ",1
"NVDA enko view showing red and dead, need 14 or more for a long & less than 13 for a short  ",0
"CSX enko view, PF Box size = 1,  VEY bullish above 21, coal stocks confirming move on rails.  ",1
GOOG And on enko w/ a PF Box size of 50 it looks like a failed breakout  ,0
user At 155 for GS but very bullish on fins as rates are low = The FED Put!,1
user ZNGA I use lagging indicators on lagging stocks ;),0
"GOOG, I like it with a close above 744.96",1
FS b/o above bull flag on heavy vol. etest of support today on light vol. 41% short float  ,1
MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop below major support & 28.22 PT.  ,1
Financials continue ripping. Easy money. C approaching 43 PT  ,1
VS follow throughs. 10 DMA crossing above 200 DMA. Trading above all MA's. Great setup  ,1
"user BAC Yeah ... they made the easy profits by slashing jobs, now they have to close win-win sales.",0
New buys today from watch list all did well  NX 20% SONS YEP  BCEI  GDP  AY and SQNM Total triggers this week 39 - a big week,1
"SBX  #SI #EarthThis is the kind of stuff that makes us perk up (so sorry!).but, go on...bullish five waves to 58.    ",1
"Can you say no brainier? ong SBAC stock, 60/80 Feb collar for protection...  ",1
Anyone can say how much svu would go even if the deal goes through? 4? 5? Not sure if much upside left.,1
NVDA the bounce continues and the stock has now cleared its 200SMA and the 13 level. ong   ,1
AXTI Momentum picking up w/ MACD climbing/SI rising.OBV indicator made a new higher high this week  ,1
GDOT OBV is moving upwards which means that big money is moving into the stock slowly. ong  ,1
aapl daily (see notes)  ,1
AMZN daily (see notes)  ,1
C daily (see notes)   ,1
"EGOV long 16.62 strong above all MA's, resting/basing, room to upper bolly to absorb 10/20 day atr  ",1
AA Fibs   Friends   ,1
TSA: Judge Dismisses Massachusetts State Automobile Dealers Association awsuit -  ,1
BAC up trending doesn't appear to slow down as of yet. It's prudent to take some profit at time.  ,1
"FE - looks like it fired a sell signal Friday, may trade this short on tick below Friday low - have to do more work on utilities later...",0
coh also got rejected by cloud but still in slight uptrend for past few. buy when it enters cloud  ,1
yum looks good here out of cloud with stops of either 200 sma or cloud under it. target of 50 sma  ,1
EQIX EXPE FB GS HOG MON PII QCOM QIH SODA Some ideas for next week.  Favorite setup is EQIX  ,1
"EQIX No position, would like to see a breakout over 216.50. Prefer more consolidation though  ",1
Time for a contraction in AAP.down to test 500 this week by Weds.long Jan11th 510/500 put spread  ,0
AAP Bounce Coming?   ,1
FS en fuego!!   ,1
AXA Over-Sold in Oscillating ange....indicators suggest buy price holds above prev close + increase in volume.,1
A few I'm not holding but will check out. user: Bullish MACD cross: BBG COP ENI EOG JEC IG SFY XE XOP,1
"JDS beautiful trend, 13.5 should bring out the dip buyers",1
ko has trouble staying above 200 day sma past few weeks. could short here or higher stops above 38  ,0
mako a red day monday breaks support and could test old lows of 9-9.25  ,0
After-hour Most Advanced: OPT MAKO FOD GNMK JDS EGE AMN PX AAY DDD SV PM BKS F,1
GOOG with simple Fibonacci projections on close over 739. 127.2% at 766 and 161.8% at 802  ,1
Why I am buying AAP on Monday -  ,1
user: AMZN over 263 has a Measured Move to 307  ,1
user The INO pipeline and the partnerships with the ni's and MK--that pretty much sums it up...,1
"AMZN the data company, not the retailer.  A new post by me.   ",1
Trading environment favors long side. Don't over stay welcome. Too few quality leaders. GS AMH OCN EGN HOV AAP  ,0
AAP what an amazing run it has been since 2005. I don't think it's over.   ,1
A Tale of Two Stocks  AAP GOOG SPY QQQ,1
F Ford's Powerful Bullish Pattern Dictates Price Direction  ,1
DT - Descending triangle. ower highs. Didn't participate well in the rally & it's overbought.   ,0
CVA Over 19.00  ,1
MCK  Over 100.05 -   ,1
VMED you know we prefer 3-4 day pullback to reverse so maybe Mon or Tuesday on flag break or at sup  ,1
"Just kidding, more legible version. Currently long FS (tweeted on friday)  ",1
Ford will perform well due to Hurricane Sandy's destruction. F Palladium will do well PA Banks are a buy picks are BAC C SAN GS,1
GS is a buy on pullback to 133 or on bigger pullback to 130.,1
CEG keep it on you watch list.,1
I wish TV would die already like all the Newspapers told me  CBS ftw!,1
I think AAP is heading back down to check in on 506 support again,0
AMZN but but but.....yap yap yap,1
SNDK pattern looking more interesting. Can it successfully break into the gap this time around?  ,1
"#AMZN at all-time highs pre-market , aapl still plunging.  should be an interesting trading day!",1
See risk to ES_F 1442.000423.75 as bearish momentum divergences resolve SPX SPY #stocks.   ,0
user: ONXX strong price & vol expansion friday. possibly looking for higher prices  > another biotech with 2 levels,1
ZNGA Momentum building to the upside.? On watch.,1
ES from watch list also fast move today  volume of 77% ave full day as usually tiny volume  ,1
TWI like this long 24% short...  ,1
"Green Weekly Triangle on HEO,....pdating  ",0
EOG - 60 min pullback to breakout - watching 1/2 position    ,1
KCG to 3.75?,1
ZCS almost hit my stop loss...glad to see it heading back up,1
AAP closed my short for some nice gains.,0
"V beautiful uptrend since June '12. Never once broke higher high, higher low trend  ",1
The most awesome AAP trendline ever. Since 1986!!   ,0
"DDD - ong  27.95. Trailing Stop  42.35 from 7 prior Stops of 41.70, 39.03, 36.53, 32.35, 27.95, 25.44 and 22.93 -  ",1
NX was largest watch list gainer new buy on Friday and biggest mover today so protect gains  ,1
"Green Weekly Triangle on KTOS,....pdating  ",0
ak corrected me - PPHM  largest watch list gainer today - though it gapped up big on open   ,1
AAP positive close above 530 today is bullish. I'll be looking for possible ONG set up.,1
CEG possible ONG today if you want to play the JPMOGAN BIOtech conference.,1
"FME: ong  10.25. Trailing Stop  13.75 from 8 prior Stops of 12.29, 11.50, 10.97, 10.63, 10.36, ... 9.64 & 9.03 -  ",1
I showed this MA on Friday with the upside orange dot traget at 517+ hit that this morn now red dot  ,0
TO triggered above 34. First target 34.55-.90,1
SXC - breaking above key downward channel level. ikely to move much higher from here.  ,1
"must follow the young man user: AMZN the data company, not the retailer.  A new post by me.   ",1
PG short back on,0
OVTI downgrade on Sept 7th 16.77 after Q1 looking good. next filing Q3 end of feb.  ,0
VS option trader sells 26k of the 47.25 - 52.25 call spreads in March. Big bet that stock will be below 47.25 by March expiry,0
"AA option traders bet on bad earnings selling 6,200 Jan 9C and buying 3,200 Jan 9P. Could be hedge on stock. Both trades against low OI",0
SKX Q3 operational cash flow negative 60million. 80million decline vs.Q3 2011,0
SKX 9 mos. 2012 operational cash flow negative 20 million. 95 million decline vs. 9mos 2011,0
"ed Weekly Triangle on SNSS,.....pdating  ",1
BAC avrg 12.127 ,1
First trade coming back from vacation. HOT short at 59.80. Stop at 60.30,0
"Green Weekly Triangle on SCC,....pdating  ",0
PODD breaking out to new 52wk highs from a decent base  ,1
3 horsemen of high beta momo chase FS GMC NFX being slammed a bit here : advanced tell that the new year party is over for the mrkt ?,0
PNA looks like a solid set up,1
Names to buy on pullbacks GS CEG FB F,1
BA for a flush down,0
"Amazon Breaks 1,600 (adjusting for the splits)  via user AMZN",1
"Financials XF have been driving this mkt higher, today they are weak-ish (except for JPM) for 1st time in while, little red flag 1...",0
on our ive Broadcast we got this long signal on PCN and covered discount buy-in ! needs push  ,1
"AMZN VOME is a go, big boys grabbing some stocks. Higher prices to come.",1
TWI at highs not seen since September  ,1
"user won gold in our 2011 stock contest w V,  won silver in 2012 w TKC. Will his DDAIF call win in 2013?  ",1
AMZN FB your pick for higher prices this week. Both breaking out with considerable volume.,1
Eceryone wants a piece of PCN gorwth and magic...stakes are so high...innovation so fast and marketing stakes high  ,1
"user scheplick It's easy to short AMZN - buy an iPad Mini, a tax prep book at Borders and some ackspace time.;-)",0
Might open a position on S today. Cup and handle can make this one fly to 7-7.5 quickly.,1
"CS, KOS positive.... nice reversal in KOS",1
AXP trying to make a move too. Getting interesting.,1
MA a strong follow thru day after breaking out to new highs last Friday - confirmation is solid  ,1
"V new highs, looking for higher prices from here  ",1
CEG a strong breakout to new highs today on 2x the daily avg. volume. ooks good for more upside  ,1
WETF cheap financial stock that is trying to b/o. Would like to see a pullback/consolidation first  ,1
"NFX shorts should be paranoid on every close as a buyout will come 1 night from aapl, msft, goog, amzn, etc.  dominate webtv long nflx",1
"As in the last 3 sessions, last hour buyers are back, more money need to be put to work... money flows... SPY TT ES_F",1
"user The stock isn't telling us anything new, but the trend is saying a lot. This E is AAP's most anticipated in years.",1
All of the above: rax setting up again  spy,1
PCN - long entry  ,1
"Green Weekly Triangle on AMPE,....Sell Short at 4.15  ",0
"Green Weekly & Monthly Triangle on FWS,....pdating to Monthly  ",0
"user are you saying ZAGG will up another 23%, how?",0
"Green Weekly & Monthly Triangle on PAB,....pdating  ",0
744.96 IS A great level for a close on GOOG,1
"AAP short-term outlook. 3 possible scenarios, 2 of them are bullish  ",1
Barclays upside case for CSOD is a year end price target of 46.  Based on 8x cy'14 revenues and 10% upside to estimates. Quite achievable!,1
CTXS (conservative swing) once again bouncing nicely off support (w/volume)  MCP (aggressive swing) however strong probability.,1
user: AMZN it's time for this bird to fly south!  ,0
"VVS Technicals are positive for a continued climb. SI, OBV and MACD all look good to me  ",1
"AKX b/out 13.78, like the base action under spot & declining vol, ripe for pop  ",1
"HAO b/out 7.20, price was rejected at 7.19 today, also high on 12/21  ",1
"HWAY b/out 11.08, nice base under the spot  ",1
yum down premarket through the cloud but has support at about 62.75   ,0
"Multi-day downswing in ES_F favored, see demand zone at 1442.000423.75 SPX SPY #stocks.   ",0
"MON - not making sales here - we will be buyers of weakness, looks like game on for a while...",1
FIN 9mos Operational cash flow declines 15million vs. prior yr first 9mos.  198% decline,0
AYI Q1 Operational Cash Flow turns Negative,0
AYI 1st negative operational cash flow quarter since quarter Novemebr 2008,0
AYI 2013 Q1 operational Cash flow negative 14.5 million. decline of 41 million vs. Q1 2012.  152% decline,0
my 526.20 bid not hit in aapl so i am expecting at least a move to 540 today :),1
"MON 2013 Q1 operational cash flow 1.569 billion,  a 459 million increase vs 2012 Q1.  41% increase",1
fio nothing but air under stock until 17.7007.80  ,0
"AAP daily fade in motion again, people that want to be out are still at work...",0
I shorted NFX here with a 1.00 stop.,0
CTIC got long,1
Catch up user: Hot inks is totally off the hook this morning - so many great reads  AAP MACO,1
IHS year end operational cash flow declined 27 million vs. 2011. an  8.19% decline,0
Watch XF JPM BAC OD closely...,0
unit cost at 1.60 this see a bounce CTIC,1
with little whips on pops and drops don't go all in on one purchase avg in through out the day limit exposure and % of portfolio CTIC,1
"SHD Get short, someone big must be exiting imo... Sitting on some 40 puts from this am!",0
MON - added,1
"If you'd like to gag on the New American Socialism, enjoy this video courtesy AIG:  ",0
JNP - added,1
X - added,1
"user Mr. Florida, hope all is well.  You've trade SAVE in the past, so Im asking you.  Do you like it here?  ooking to fill gap?",1
SHD ... why won't you die already? ampert doesn't know 2 sh*ts about running a retail. He bought Sears for the property... ,0
"WN: ong  19.79. Trailing Stop  24.39 from 6 prior Stops of 23.76, 20.42, 19.79, 18.09, 17.13 and 16.39 -  ",1
"DECK: Short  66.41. Trailing Stop  44.16 down from 5 prior Stops of 51.65, 59.07, 66.41, 74.13 & 81.85 -  ",0
WFM - short back on,0
"nice base building here 1.50 0.54 on CTIC should test hod's in the afternoon, setting up nicely for follow thru tomorrow. #tradeoftheweek",1
up to 16 million shares on CTIC almost 10x avg daily vol. I don't think this is a one day story. Gap up to 2.05 plenty of rm to run imho,1
SHD Eddie ampert is a 1 trick pony...,0
"et the angry, anecdotal comments begin: Why I still think BlackBerry & IM are doomed.  IMM AAP GOOG NOK T VZ",0
user I think AAP putting in a long term bottom.....of course I could be wrong but that is what it looks like :-),1
i had a price alert go off for WWW while off the desk.,0
GG to be delisted soon typicall pump and dump same story over the last few months be careful one day trades over a mil next day ur stuck,0
TSO option trader buys 10k of the Feb 40P for 1.60. A 1.6 million bet stock will be below 40 by Feb exp. Could be hedge too. OI is 544,0
DDD SSY Stops honored.  So be it. Now.... must.not.become.bearshitter.,0
CYBX keeps consolidating near all-time highs  ,1
DDD The sentiment on this stock can change in a blink of an eye.  Not for the faint of heart.  Still long term bullish.,1
MCP bottom at 11.00? Strong esistance. nder these level...short breakout Chance.,0
AIG wins the awsuit then announces dividend reinstatement. :),1
TIVO is a buyout coming? Sure seems strong of late?,1
biggest mistake i made all day was not sticking to my gut on reversal in #SOAS #2 not sticking to my watchlist DK STP ANA KOG,1
DDD looks an easy short,0
My instincts are spot on in 2013 and still think CTIC will hit 2.05 this wk but still want to stick to my morning watchlist & not chase,1
AX looks good for higher prices  ,1
CM holding up well   ,1
"ANA with the conference tomorrow, I guess we will hit 10.05 after all...",1
"NFX - hearing PJCO out cautious following comScore data: Following Weak December, Overall 4Q Traffic Again Turns Negative user",0
"se pullback 2 initiate quick trades, not invest, long. Keep stops tight & sell up.  AAP EGN OCN AMH DDD NSM",1
"Piper Jaffray making negative comments on NFX and CST ed Box : comScore Q4 data weak for edbox, Netflix",0
Maybe a good time to buy TD the 44 level appears to be holding as a key support level,1
"CSN option trader buys 1,500 of the Jan 1106 call spread against low OI indicating entering a position for .50. Bet on data bef. Jan 19",1
AA there goes the kids college fund!,1
X option trader takes profits in Feb26P selling 8k against 8k OI and rolling position to Feb 25P buying 8K at 1.48,0
"Green Monthly Triangle on ACAD,....Net Profit  7,177.00 (11.49%)  ",1
So far so good regarding our APO #earnings strategy. Far too soon to call it a win though.  ,1
AA this is why I went all in..,1
"Does AA hold the key for the SPX?  When AA is up on earnings, SPX up +1.90% a mo. later.  ",1
"My call for the week AA, WFC, APO, MON",1
AA i don't like the SPIN on operational cash flow,0
APO Q1 2013 operational cash flow 210 million. a 90million decline vs. 2012 Q1.  30% decline,0
"ed Weekly Triangle on AMS,....Net Profit  26,135.00 (38.40%)  ",0
CM AVG THO AMWD  coiling for breakouts to new highs. Set buy stops slightly above the most recent highs.,1
"user jemberlin that is my number too, will be a good swing, but personally I hate AMD,",0
SPY SPX ES  Green Hedges Stars model: next stop 1410.56 SPX 1387.92 if lower.,0
SWHC looks like ban on large capacity magazines and more hurdles to purchase are on the table for the politicians.  Was on the Evening News,1
